Day,Time,DayOfWeek,PdDistrict,X,Y,Category
0.940613879004,1.0,0.5,NORTHERN,0.665823221989,0.695255068648,OTHER OFFENSES
0.971752669039,0.985994397759,0.5,NORTHERN,0.679501162719,0.967079377434,OTHER OFFENSES
1.0,0.983893557423,0.5,NORTHERN,0.655948834999,0.971905111481,LARCENY/THEFT
0.907473309609,0.259103641457,0.0,MISSION,0.780070308928,0.591723062188,SEX OFFENSES FORCIBLE
0.866770462633,0.259103641457,0.0,INGLESIDE,0.798988761129,0.304994583671,NON-CRIMINAL
0.846307829181,0.259103641457,0.0,TENDERLOIN,0.76754748179,0.761344702569,DRUG/NARCOTIC
0.855427046263,0.259103641457,0.0,TENDERLOIN,0.76754748179,0.761344702569,OTHER OFFENSES
0.844528469751,0.259103641457,0.0,MISSION,0.780070308928,0.591723062188,SEX OFFENSES FORCIBLE
0.881450177936,0.259103641457,0.0,MISSION,0.780070308928,0.591723062188,KIDNAPPING
0.868549822064,0.248599439776,0.0,SOUTHERN,0.897656577839,0.727113273712,NON-CRIMINAL
0.781583629893,0.437675070028,0.5,INGLESIDE,0.568671100418,0.141334168947,OTHER OFFENSES
0.773354092527,0.437675070028,0.5,MISSION,0.83003903765,0.60242936661,MISSING PERSON
0.816058718861,0.437675070028,0.5,MISSION,0.83003903765,0.60242936661,MISSING PERSON
0.820284697509,0.437675070028,0.5,PARK,0.495359413907,0.715145230051,VEHICLE THEFT
0.838300711744,0.437675070028,0.5,TARAVAL,0.288119866969,0.0252193065583,LARCENY/THEFT
0.827402135231,0.436274509804,0.5,NORTHERN,0.719806663869,0.816748985597,NON-CRIMINAL
0.743994661922,0.9418767507,0.0,NORTHERN,0.602986295217,0.797966728748,NON-CRIMINAL
0.681049822064,0.93837535014,0.0,NORTHERN,0.719568662153,0.733713529281,OTHER OFFENSES
0.694395017794,0.93837535014,0.0,NORTHERN,0.719568662153,0.733713529281,DRUG/NARCOTIC
0.711743772242,0.93837535014,0.0,NORTHERN,0.719568662153,0.733713529281,OTHER OFFENSES
0.735320284698,0.936974789916,0.0,NORTHERN,0.697025604869,0.856122136106,ASSAULT
0.619661921708,0.0280112044818,0.333333333333,MISSION,0.739470437234,0.494203770203,VANDALISM
0.642348754448,0.0266106442577,0.333333333333,CENTRAL,0.742738934486,0.818020096011,FRAUD
0.608763345196,0.00700280112045,0.333333333333,SOUTHERN,0.805387070423,0.775615422975,ASSAULT
0.630115658363,0.0,0.333333333333,CENTRAL,0.720333667669,0.993517568532,KIDNAPPING
0.665258007117,0.0,0.333333333333,CENTRAL,0.720333667669,0.993517568532,SEX OFFENSES FORCIBLE
0.617882562278,0.0,0.333333333333,CENTRAL,0.720333667669,0.993517568532,ROBBERY
0.535587188612,0.0455182072829,0.333333333333,MISSION,0.604053723966,0.552282207571,ROBBERY
0.585409252669,0.0385154061625,0.333333333333,MISSION,0.730169580696,0.595924191615,ASSAULT
